Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","CP_Radial_Tantal_D5.0mm_P2.50mm",163.753800,-129.909687,180.000000,top
"C2","0.1uF","C_Disc_D3.8mm_W2.6mm_P2.50mm",162.433000,-84.562000,90.000000,top
"C3","0.01uF","C_Disc_D3.8mm_W2.6mm_P2.50mm",162.280600,-89.814400,90.000000,top
"C4","1uF","CP_Radial_Tantal_D5.0mm_P2.50mm",157.226000,-77.597000,0.000000,top
"C5","0.1uF","C_Disc_D3.8mm_W2.6mm_P2.50mm",137.072487,-130.072087,-90.000000,top
"C6","0.1uF","C_Disc_D3.8mm_W2.6mm_P2.50mm",159.989200,-105.156000,0.000000,top
"C7","0.01uF","C_Disc_D3.8mm_W2.6mm_P2.50mm",160.116200,-98.348800,0.000000,top
"C8","0.1uF","C_Disc_D3.8mm_W2.6mm_P2.50mm",137.312400,-108.412600,90.000000,top
"C9","0.1uF","C_Disc_D3.8mm_W2.6mm_P2.50mm",160.065400,-101.777800,0.000000,top
"C10","0.1uF","C_Disc_D3.8mm_W2.6mm_P2.50mm",131.272600,-71.043800,180.000000,top
"C11","0.01uF","C_Disc_D3.8mm_W2.6mm_P2.50mm",161.163000,-119.233000,90.000000,top
"C12","0.1uF","C_Disc_D3.8mm_W2.6mm_P2.50mm",161.061400,-114.127600,90.000000,top
"D1","RED","LED_D3.0mm",174.498000,-92.029200,90.000000,top
"D2","BLUE","LED_D3.0mm",168.884600,-92.181600,90.000000,top
"J1","PJ-102A","Barrel_Jack_5.5mmODx2.1mmID_PJ-102A",151.864087,-129.277487,180.000000,top
"J2","0022232041","PinHeader_1x4_P2.54mm_Drill1.02mm",163.850400,-69.900800,180.000000,top
"R1","1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",155.295600,-81.965800,-90.000000,top
"R2","1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",158.902400,-89.662000,90.000000,top
"R3","1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",153.619200,-105.410000,90.000000,top
"R4","1M","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",157.302200,-105.460800,90.000000,top
"R5","1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",154.228800,-119.278400,90.000000,top
"R6","1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",157.530800,-119.278400,90.000000,top
"R7","220","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",174.498000,-77.927200,-90.000000,top
"R8","220","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",168.884600,-77.952600,-90.000000,top
"RV1","1M","Potentiometer_Piher_PT-15-H01_Horizontal",139.627600,-71.800800,90.000000,top
"S1","EG1218","Switch_Slide_11.6x4mm_EG1218",143.397087,-128.977487,-90.000000,top
"S2","EG1218","Switch_Slide_11.6x4mm_EG1218",169.291000,-68.681600,0.000000,top
"S3","SWITCH","Switch_Slide_11.6x4mm_EG1218",169.164000,-117.856000,90.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H5mm",169.708000,-104.240400,90.000000,top
"U1","LM555xN","DIP-8_W7.62mm",149.596000,-81.848800,-90.000000,top
"U2","SN74LS32N","DIP-14_W3mm",126.404487,-122.513687,0.000000,top
"U3","SN74LS08N","DIP-14_W3mm",134.010400,-114.660200,180.000000,top
"U4","LM555xN","DIP-8_W7.62mm",149.519800,-97.800000,-90.000000,top
"U5","SN74LS04N","DIP-14_W3mm",133.898200,-91.530800,180.000000,top
"U6","LM555xN","DIP-8_W7.62mm",149.900800,-111.668400,-90.000000,top
