Date:,8/5/2022 21:49,,,,,,,,,,,,
Tool:,Eeschema (6.0.7),,,,,,,,,,,,
Component Count:,35,,,,,,,,,,,,
,,,,,,,,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,,,,,,,
,,,,,,,,,,,,,
"C1, ",1,10uF,C_Polarized_US,Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm,"Polarized capacitor, US symbol",,,,,,,,
,,,,,,,,,,,,,
"C2, C5, C6, C8, C9, C10, C12, ",7,0.1uF,C,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm,Unpolarized capacitor,,,,,,,,
,,,,,,,,,,,,,
"C3, C7, C11, ",3,0.01uF,C,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm,Unpolarized capacitor,,,,,,,,
,,,,,,,,,,,,,
"C4, ",1,1uF,C_Polarized_US,Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm,"Polarized capacitor, US symbol",,,,,,,,
,,,,,,,,,,,,,
"D1, ",1,RED,LED,LED_THT:LED_D3.0mm,Light emitting diode,,,,,,,,
,,,,,,,,,,,,,
"D2, ",1,BLUE,LED,LED_THT:LED_D3.0mm,Light emitting diode,,,,,,,,
,,,,,,,,,,,,,
"J1, ",1,PJ-102A,PJ-102A,digikey-footprints:Barrel_Jack_5.5mmODx2.1mmID_PJ-102A,CONN PWR JACK 2X5.5MM SOLDER,,,,,,,,
,,,,,,,,,,,,,
"J2, ",1,22232041,22232041,digikey-footprints:PinHeader_1x4_P2.54mm_Drill1.02mm,CONN HEADER VERT 4POS 2.54MM,,,,,,,,
,,,,,,,,,,,,,
"R1, R2, R3, R5, R6, ",5,1K,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,,,,,,,,
,,,,,,,,,,,,,
"R4, ",1,1M,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,,,,,,,,
,,,,,,,,,,,,,
"R7, R8, ",2,220,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,,,,,,,,
,,,,,,,,,,,,,
"RV1, ",1,1M,R_Potentiometer,Potentiometer_THT:Potentiometer_Piher_PT-15-H01_Horizontal,Potentiometer,,,,,,,,
,,,,,,,,,,,,,
"S1, S2, ",2,EG1218,EG1218,digikey-footprints:Switch_Slide_11.6x4mm_EG1218,SWITCH SLIDE SPDT 200MA 30V,,,,,,,,
,,,,,,,,,,,,,
"S3, ",1,SWITCH,EG1218,digikey-footprints:Switch_Slide_11.6x4mm_EG1218,SWITCH SLIDE SPDT 200MA 30V,,,,,,,,
,,,,,,,,,,,,,
"SW1, ",1,SW_Push,SW_Push,Button_Switch_THT:SW_PUSH_6mm_H5mm,"Push button switch, generic, two pins",,,,,,,,
,,,,,,,,,,,,,
"U1, U4, U6, ",3,LM555xN,LM555xN,Package_DIP:DIP-8_W7.62mm,"Timer, 555 compatible, PDIP-8",,,,,,,,
,,,,,,,,,,,,,
"U2, ",1,SN74LS32N,SN74LS32N,digikey-footprints:DIP-14_W3mm,IC GATE OR 4CH 2-INP 14DIP,,,,,,,,
,,,,,,,,,,,,,
"U3, ",1,SN74LS08N,SN74LS08N,digikey-footprints:DIP-14_W3mm,IC GATE AND 4CH 2-INP 14DIP,,,,,,,,
,,,,,,,,,,,,,
"U5, ",1,SN74LS04N,SN74LS04N,digikey-footprints:DIP-14_W3mm,IC INVERTER 6CH 6-INP 14DIP,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
